Datetime,Global_active_power_min,Global_active_power_mean,Global_active_power_max,Global_reactive_power_min,Global_reactive_power_mean,Global_reactive_power_max,Voltage_min,Voltage_mean,Voltage_max,Global_intensity_min,Global_intensity_mean,Global_intensity_max,Sub_metering_1,Sub_metering_2,Sub_metering_3,Sub_metering_other,Sub_metering_total
2006-12-16,0.284,3.0534747474747475,7.706,0.0,0.08818686868686867,0.528,230.98,236.24376262626262,243.73,1.2,13.082828282828283,33.2,,,,,
2006-12-17,0.206,2.354486111111111,7.064,0.0,0.1569486111111111,0.582,229.57,240.0870277777778,249.37,0.8,9.999027777777778,30.0,0.0,28.0,0.0,1822.0,1850.0
2006-12-18,0.202,1.5304347222222223,6.158,0.0,0.11235555555555556,0.646,229.08,241.23169444444446,248.48,0.8,6.421666666666667,27.0,0.0,2.0,0.0,254.0,256.0
2006-12-19,0.194,1.1570791666666667,7.84,0.0,0.10482083333333334,0.606,231.24,241.9993125,248.89,0.8,4.926388888888889,33.6,0.0,58.0,489.0,261.0,808.0
2006-12-20,0.202,1.5456583333333334,5.988,0.0,0.11180416666666666,0.482,233.43,242.30806249999998,249.48,0.8,6.467361111111111,25.2,0.0,43.0,0.0,387.0,430.0
2006-12-21,0.194,1.193757997218359,5.854,0.0,0.10025452016689847,0.688,228.91,241.04054937413073,247.08,0.8,5.033796940194716,25.4,0.0,0.0,1088.0,420.0,1508.0
2006-12-22,0.202,1.6259291666666669,7.884,0.0,0.12979583333333333,0.622,230.39,241.1845486111111,248.82,0.8,6.872916666666667,34.2,0.0,0.0,0.0,249.0,249.0
2006-12-23,0.208,3.314851388888889,8.698,0.0,0.15379861111111112,0.724,231.17,240.1360763888889,247.23,0.8,14.028055555555557,37.0,0.0,2.0,0.0,1667.0,1669.0
2006-12-24,0.196,1.7708416666666669,6.824,0.0,0.10409722222222223,0.494,231.08,241.6874375,249.27,0.8,7.640416666666667,29.6,0.0,30.0,1052.0,2921.0,4003.0
2006-12-25,0.198,1.9049444444444443,6.702,0.0,0.1668611111111111,0.794,233.48,243.39993055555558,250.62,0.8,7.951527777777779,28.4,0.0,9.0,177.0,784.0,970.0
2006-12-26,0.418,2.7320208333333333,6.496,0.0,0.11465416666666667,0.8,234.59,241.6254375,249.11,2.0,11.347916666666666,27.4,0.0,11.0,0.0,2383.0,2394.0
2006-12-27,0.21,1.0616388888888888,5.56,0.0,0.12423749999999999,0.438,235.6,243.76736111111111,251.7,1.0,4.5175,23.2,0.0,0.0,0.0,452.0,452.0
2006-12-28,0.218,1.4393319444444443,9.132,0.0,0.14505277777777778,0.694,230.7,243.26833333333335,250.95,1.0,6.086250000000001,39.4,0.0,0.0,726.0,263.0,989.0
2006-12-29,0.216,2.204438888888889,7.238,0.0,0.13638472222222223,0.564,228.2,240.87130555555555,250.55,1.0,9.271388888888888,31.2,0.0,38.0,0.0,1344.0,1382.0
2006-12-30,0.204,1.939709318497914,9.078,0.0,0.21691794158553546,0.754,228.99,240.54068845618914,250.67,0.8,8.292211404728791,38.8,0.0,37.0,0.0,217.0,254.0
2006-12-31,0.206,2.426525,6.722,0.0,0.10475833333333334,0.414,231.23,239.8965763888889,248.56,0.8,10.199583333333333,28.4,0.0,35.0,0.0,615.0,650.0
2007-01-01,0.204,1.9090305555555556,3.558,0.0,0.10289305555555556,0.454,234.07,240.12897916666665,246.3,0.8,7.916944444444444,14.6,0.0,35.0,0.0,2495.0,2530.0
2007-01-02,0.358,0.8814138888888889,3.688,0.0,0.13218194444444445,0.862,233.9,241.94377777777777,250.02,1.4,3.7140277777777775,16.4,0.0,35.0,0.0,392.0,427.0
2007-01-03,0.23,0.7042041666666666,5.19,0.0,0.13661666666666666,0.46,238.57,243.5570902777778,248.53,1.0,3.0140277777777778,21.2,0.0,0.0,0.0,1091.0,1091.0
2007-01-04,0.26,2.2634805555555553,5.976,0.0,0.1404875,0.724,231.83,239.7502986111111,247.35,1.2,9.478194444444444,25.2,509.0,572.0,0.0,2269.0,3350.0
